,State,County,FIPS,Year,Population
6735,GA,GREENE,13133,2008,15869.0
6736,GA,GWINNETT,13135,2008,780721.0
6737,GA,HABERSHAM,13137,2008,42550.0
6738,GA,HALL,13139,2008,177277.0
6739,GA,HANCOCK,13141,2008,9808.0
6740,GA,HARALSON,13143,2008,28645.0
6741,GA,HARRIS,13145,2008,30807.0
6742,GA,HART,13147,2008,25138.0
6743,GA,HEARD,13149,2008,11809.0
6744,GA,HENRY,13151,2008,194658.0
6745,GA,HOUSTON,13153,2008,134922.0
6746,GA,IRWIN,13155,2008,9803.0
6747,GA,JACKSON,13157,2008,59420.0
6748,GA,JASPER,13159,2008,13769.0
6749,GA,JEFF DAVIS,13161,2008,14577.0
6750,GA,JEFFERSON,13163,2008,16925.0
6751,GA,JENKINS,13165,2008,8340.0
6752,GA,JOHNSON,13167,2008,10127.0
6753,GA,JONES,13169,2008,28552.0
6754,GA,LAMAR,13171,2008,18025.0
6755,GA,LANIER,13173,2008,9560.0
6756,GA,LAURENS,13175,2008,48192.0
6757,GA,LEE,13177,2008,28111.0
6758,GA,LIBERTY,13179,2008,62635.0
6759,GA,LINCOLN,13181,2008,8156.0
6760,GA,LONG,13183,2008,12744.0
6761,GA,LOWNDES,13185,2008,104918.0
6762,GA,LUMPKIN,13187,2008,29128.0
6763,GA,MCDUFFIE,13189,2008,21790.0
6764,GA,MCINTOSH,13191,2008,13973.0
6765,GA,MACON,13193,2008,14496.0
6766,GA,MADISON,13195,2008,27820.0
6767,GA,MARION,13197,2008,8357.0
6768,GA,MERIWETHER,13199,2008,22632.0
6769,GA,MILLER,13201,2008,6158.0
6770,GA,MITCHELL,13205,2008,23840.0
6771,GA,MONROE,13207,2008,25969.0
6772,GA,MONTGOMERY,13209,2008,9100.0
6773,GA,MORGAN,13211,2008,17958.0
6774,GA,MURRAY,13213,2008,39869.0
6775,GA,MUSCOGEE,13215,2008,184763.0
6776,GA,NEWTON,13217,2008,98240.0
6777,GA,OCONEE,13219,2008,31697.0
6778,GA,OGLETHORPE,13221,2008,14663.0
6779,GA,PAULDING,13223,2008,137066.0
6780,GA,PEACH,13225,2008,27222.0
6781,GA,PICKENS,13227,2008,29531.0
6782,GA,PIERCE,13229,2008,18210.0
6783,GA,PIKE,13231,2008,17619.0
6784,GA,POLK,13233,2008,41407.0
6785,GA,PULASKI,13235,2008,11638.0
6786,GA,PUTNAM,13237,2008,21075.0
6787,GA,QUITMAN,13239,2008,2547.0
6788,GA,RABUN,13241,2008,16359.0
6789,GA,RANDOLPH,13243,2008,7645.0
6790,GA,RICHMOND,13245,2008,198423.0
6791,GA,ROCKDALE,13247,2008,83558.0
6792,GA,SCHLEY,13249,2008,4835.0
6793,GA,SCREVEN,13251,2008,14843.0
6794,GA,SEMINOLE,13253,2008,8827.0
6795,GA,SPALDING,13255,2008,63651.0
6796,GA,STEPHENS,13257,2008,26004.0
6797,GA,STEWART,13259,2008,5814.0
6798,GA,SUMTER,13261,2008,33012.0
6799,GA,TALBOT,13263,2008,6899.0
6800,GA,TALIAFERRO,13265,2008,1820.0
6801,GA,TATTNALL,13267,2008,23801.0
6802,GA,TAYLOR,13269,2008,8945.0
6803,GA,TELFAIR,13271,2008,16230.0
6804,GA,TERRELL,13273,2008,9648.0
6805,GA,THOMAS,13275,2008,44627.0
6806,GA,TIFT,13277,2008,39806.0
6807,GA,TOOMBS,13279,2008,27345.0
6808,GA,TOWNS,13281,2008,10485.0
6809,GA,TREUTLEN,13283,2008,6847.0
6810,GA,TROUP,13285,2008,65860.0
6811,GA,TURNER,13287,2008,9029.0
6812,GA,TWIGGS,13289,2008,9442.0
6813,GA,UNION,13291,2008,21285.0
6814,GA,UPSON,13293,2008,27321.0
6815,GA,WALKER,13295,2008,68103.0
6816,GA,WALTON,13297,2008,82602.0
6817,GA,WARE,13299,2008,36065.0
6818,GA,WARREN,13301,2008,5942.0
6819,GA,WASHINGTON,13303,2008,21202.0
6820,GA,WAYNE,13305,2008,30042.0
6821,GA,WEBSTER,13307,2008,2710.0
6822,GA,WHEELER,13309,2008,7018.0
6823,GA,WHITE,13311,2008,26626.0
6824,GA,WHITFIELD,13313,2008,100546.0
6825,GA,WILCOX,13315,2008,9023.0
6826,GA,WILKES,13317,2008,10630.0
6827,GA,WILKINSON,13319,2008,9691.0
6828,GA,WORTH,13321,2008,21701.0
6833,ID,ADA,16001,2008,382618.0
6834,ID,ADAMS,16003,2008,4021.0
6835,ID,BANNOCK,16005,2008,80609.0
6836,ID,BEAR LAKE,16007,2008,6027.0
6837,ID,BENEWAH,16009,2008,9385.0
6838,ID,BINGHAM,16011,2008,44414.0
6839,ID,BLAINE,16013,2008,21477.0
6840,ID,BOISE,16015,2008,7148.0
6841,ID,BONNER,16017,2008,40966.0
6842,ID,BONNEVILLE,16019,2008,100811.0
6843,ID,BOUNDARY,16021,2008,10831.0
6844,ID,BUTTE,16023,2008,2846.0
6845,ID,CAMAS,16025,2008,1120.0
6846,ID,CANYON,16027,2008,184996.0
6847,ID,CARIBOU,16029,2008,6840.0
6848,ID,CASSIA,16031,2008,22134.0
6849,ID,CLARK,16033,2008,981.0
6850,ID,CLEARWATER,16035,2008,8764.0
6851,ID,CUSTER,16037,2008,4300.0
6852,ID,ELMORE,16039,2008,26930.0
6853,ID,FRANKLIN,16041,2008,12570.0
6854,ID,FREMONT,16043,2008,13112.0
6855,ID,GEM,16045,2008,16941.0
6856,ID,GOODING,16047,2008,15216.0
6857,ID,IDAHO,16049,2008,15896.0
6858,ID,JEFFERSON,16051,2008,24696.0
6859,ID,JEROME,16053,2008,21217.0
6860,ID,KOOTENAI,16055,2008,135627.0
6861,ID,LATAH,16057,2008,36524.0
6862,ID,LEMHI,16059,2008,7902.0
6863,ID,LEWIS,16061,2008,3739.0
6864,ID,LINCOLN,16063,2008,5041.0
6865,ID,MADISON,16065,2008,36564.0
6866,ID,MINIDOKA,16067,2008,19393.0
6867,ID,NEZ PERCE,16069,2008,38810.0
6868,ID,ONEIDA,16071,2008,4201.0
6869,ID,OWYHEE,16073,2008,11515.0
6870,ID,PAYETTE,16075,2008,22618.0
6871,ID,POWER,16077,2008,7564.0
6872,ID,SHOSHONE,16079,2008,13031.0
6873,ID,TETON,16081,2008,9627.0
6874,ID,TWIN FALLS,16083,2008,75143.0
6875,ID,VALLEY,16085,2008,10060.0
6876,ID,WASHINGTON,16087,2008,10095.0
7683,MS,ADAMS,28001,2008,32629.0
7684,MS,ALCORN,28003,2008,36793.0
7685,MS,AMITE,28005,2008,13324.0
7686,MS,ATTALA,28007,2008,19622.0
7687,MS,BENTON,28009,2008,8769.0
7688,MS,BOLIVAR,28011,2008,35032.0
7689,MS,CALHOUN,28013,2008,14912.0
7690,MS,CARROLL,28015,2008,10694.0
7691,MS,CHICKASAW,28017,2008,17639.0
7692,MS,CHOCTAW,28019,2008,8703.0
7693,MS,CLAIBORNE,28021,2008,9940.0
7694,MS,CLARKE,28023,2008,16772.0
7695,MS,CLAY,28025,2008,20878.0
7696,MS,COAHOMA,28027,2008,26549.0
7697,MS,COPIAH,28029,2008,29584.0
7698,MS,COVINGTON,28031,2008,19594.0
7699,MS,DESOTO,28033,2008,156214.0
7700,MS,FORREST,28035,2008,74196.0
7701,MS,FRANKLIN,28037,2008,8136.0
7702,MS,GEORGE,28039,2008,22193.0
7703,MS,GREENE,28041,2008,14293.0
