,Year,FIPS,County,Morphine_equ,State,Deaths,Year_Changed,Population,Deaths_PC
236,2007.0,13173.0,LANIER,1613.5585610000005,GA,,,9013.0,
237,2007.0,13175.0,LAURENS,22184.48452590088,GA,,,47649.0,
238,2007.0,13177.0,LEE,1354.5731700000024,GA,,,27792.0,
239,2007.0,13179.0,LIBERTY,5859.982584000075,GA,,,63708.0,
240,2007.0,13181.0,LINCOLN,1652.9011559999994,GA,,,8161.0,
241,2007.0,13183.0,LONG,600.3608580000002,GA,,,12381.0,
242,2007.0,13185.0,LOWNDES,23655.470876626026,GA,,,101752.0,
243,2007.0,13187.0,LUMPKIN,4226.592226999997,GA,,,28228.0,
244,2007.0,13189.0,MCDUFFIE,7064.847278500054,GA,,,21527.0,
245,2007.0,13191.0,MCINTOSH,4059.980606362516,GA,,,13623.0,
246,2007.0,13193.0,MACON,3518.601584062505,GA,,,14402.0,
247,2007.0,13195.0,MADISON,10659.215516225064,GA,,,27649.0,
248,2007.0,13197.0,MARION,473.1834749999999,GA,,,8255.0,
249,2007.0,13199.0,MERIWETHER,4424.036330000011,GA,,,22506.0,
250,2007.0,13201.0,MILLER,1237.5099825000011,GA,,,6124.0,
251,2007.0,13205.0,MITCHELL,3723.914687712489,GA,,,23974.0,
252,2007.0,13207.0,MONROE,7362.303488000092,GA,,,25726.0,
253,2007.0,13209.0,MONTGOMERY,341.00546099999997,GA,,,9175.0,
254,2007.0,13211.0,MORGAN,3380.0929247249983,GA,,,17648.0,
255,2007.0,13213.0,MURRAY,10175.70716222513,GA,,,40138.0,
256,2007.0,13217.0,MUSCOGEE,54511.314974067594,GA,,,,
257,2007.0,13217.0,NEWTON,18236.840234687614,GA,10.0,,95699.0,0.00010449429983594395
258,2007.0,13219.0,OCONEE,3983.7260045000094,GA,,,30755.0,
259,2007.0,13221.0,OGLETHORPE,2210.8848600000024,GA,,,14382.0,
260,2007.0,13223.0,PAULDING,29054.782052726612,GA,20.0,,131172.0,0.00015247156405330406
261,2007.0,13225.0,PEACH,5125.475937950034,GA,,,26467.0,
262,2007.0,13227.0,PICKENS,11553.32260253766,GA,,,29095.0,
263,2007.0,13229.0,PIERCE,5856.794240362521,GA,,,17933.0,
264,2007.0,13231.0,PIKE,1680.2444249999992,GA,,,17220.0,
265,2007.0,13233.0,POLK,24624.24877567592,GA,,,40789.0,
266,2007.0,13235.0,PULASKI,3976.5501643625225,GA,,,11445.0,
267,2007.0,13237.0,PUTNAM,3344.067425362489,GA,,,20800.0,
268,2007.0,13241.0,RABUN,8643.056851350084,GA,,,16306.0,
269,2007.0,13243.0,RANDOLPH,683.067820950001,GA,,,7758.0,
270,2007.0,13247.0,RICHMOND,52950.708223089874,GA,,,,
271,2007.0,13247.0,ROCKDALE,22674.44353058805,GA,10.0,,82146.0,0.00012173447276799844
272,2007.0,13249.0,SCHLEY,469.8148094999997,GA,,,4601.0,
273,2007.0,13251.0,SCREVEN,2250.3380519999955,GA,,,14865.0,
274,2007.0,13253.0,SEMINOLE,2490.73424362501,GA,,,8800.0,
275,2007.0,13255.0,SPALDING,21720.500104400395,GA,,,62682.0,
276,2007.0,13257.0,STEPHENS,21322.500078937814,GA,,,25620.0,
277,2007.0,13259.0,STEWART,609.3922988625,GA,,,5691.0,
278,2007.0,13261.0,SUMTER,4441.587521625012,GA,,,32987.0,
